 ,Area,Mean,StdDev,Min,Max,IntDen,RawIntDen
207,0.011,16034.401,1108.871,3746,19617,176.616,1678176443.000
208,0.011,500.892,44.671,293,694,5.517,52423815.000
209,0.011,670.992,73.416,429,1194,7.391,70226708.000
210,0.011,975.057,121.922,581,1728,10.740,102050393.000
211,0.011,523.145,71.906,320,764,5.762,54752915.000
212,0.011,492.140,51.656,289,682,5.421,51507914.000
213,0.011,608.990,52.338,405,1011,6.708,63737497.000
214,0.011,17114.958,892.984,14158,20202,188.518,1791268613.000
215,0.011,610.717,56.907,396,848,6.727,63918285.000
216,0.011,698.466,124.667,449,1185,7.693,73102167.000
217,0.011,551.862,51.312,336,844,6.079,57758451.000
218,0.011,572.939,36.255,339,739,6.311,59964364.000
219,0.011,557.152,44.670,337,764,6.137,58312120.000
220,0.011,513.029,55.651,342,1327,5.651,53694168.000
221,0.011,17678.462,1279.001,14614,25110,194.725,1850245480.000
222,0.011,568.263,35.829,346,730,6.259,59474937.000
223,0.011,647.183,52.544,442,946,7.129,67734809.000
224,0.011,819.380,130.438,505,1229,9.025,85757095.000
225,0.011,729.494,115.378,389,1144,8.035,76349551.000
226,0.011,876.089,134.977,449,1632,9.650,91692387.000
227,0.011,707.802,117.587,426,1493,7.796,74079285.000
228,0.011,10872.314,598.515,8190,17804,119.756,1137907249.000
229,0.011,535.065,75.651,342,812,5.894,56000467.000
230,0.011,758.229,126.125,403,1346,8.352,79356982.000
231,0.011,907.620,116.843,559,1332,9.997,94992457.000
232,0.011,729.403,97.765,453,1396,8.034,76340020.000
233,0.011,837.885,158.028,516,1297,9.229,87693927.000
234,0.011,718.939,71.444,507,1223,7.919,75244884.000
235,0.011,14760.811,1026.054,3571,18134,162.587,1544881267.000
236,0.011,525.949,50.624,306,739,5.793,55046386.000
237,0.011,699.455,82.612,444,1205,7.704,73205646.000
238,0.011,984.632,130.282,592,1868,10.846,103052577.000
239,0.011,534.654,73.365,317,799,5.889,55957385.000
240,0.011,508.605,56.440,297,720,5.602,53231136.000
241,0.011,631.265,55.956,416,1021,6.953,66068803.000
242,0.011,15784.492,826.830,12980,18710,173.863,1652020735.000
243,0.011,634.031,63.784,395,889,6.984,66358348.000
244,0.011,712.413,129.280,453,1266,7.847,74561842.000
245,0.011,572.942,57.772,378,849,6.311,59964656.000
246,0.011,588.056,38.073,319,759,6.477,61546507.000
247,0.011,576.132,48.259,326,792,6.346,60298528.000
248,0.011,523.371,59.474,329,1276,5.765,54776502.000
249,0.011,16334.513,1176.346,13698,23389,179.921,1709586414.000
250,0.011,588.983,38.552,349,770,6.488,61643581.000
251,0.011,666.918,58.269,448,968,7.346,69800326.000
252,0.011,827.804,136.403,521,1263,9.118,86638826.000
253,0.011,775.884,124.728,386,1201,8.546,81204751.000
254,0.011,923.617,147.485,525,1667,10.173,96666660.000
255,0.011,752.998,126.539,426,1470,8.294,78809572.000
256,0.011,10112.614,599.735,7785,17210,111.388,1058396339.000
257,0.011,572.184,83.560,344,848,6.302,59885316.000
258,0.011,814.287,138.260,410,1358,8.969,85224117.000
259,0.011,950.726,128.327,561,1407,10.472,99503949.000
260,0.011,759.179,105.344,478,1437,8.362,79456459.000
261,0.011,850.755,162.790,513,1319,9.371,89040893.000
262,0.011,750.398,80.014,513,1278,8.265,78537366.000
263,0.011,13665.263,956.253,3237,16800,150.520,1430220045.000
264,0.011,555.471,57.327,330,759,6.118,58136134.000
265,0.011,734.070,93.246,427,1248,8.086,76828485.000
266,0.011,1005.609,140.552,591,1804,11.077,105248043.000
267,0.011,550.855,75.816,358,808,6.068,57653051.000
268,0.011,529.999,61.535,305,752,5.838,55470237.000
269,0.011,657.975,60.992,446,1057,7.247,68864279.000
270,0.011,14637.932,766.983,12100,17294,161.234,1532020599.000
271,0.011,662.026,71.493,433,915,7.292,69288255.000
272,0.011,732.995,135.860,447,1258,8.074,76715949.000
273,0.011,599.792,65.221,395,913,6.607,62774831.000
274,0.011,608.879,41.052,349,849,6.707,63725877.000
275,0.011,601.050,54.020,360,846,6.620,62906546.000
276,0.011,537.720,63.977,364,1319,5.923,56278331.000
