Index,Combo,Species_1,Species_2,Species_3,TriMean,TriStDev,Species_1_Mean,Species_1_STDEV,Species_2_Mean,Species_2_STDEV,Species_3_Mean,Species_3_STDEV
126,20809,8,2,9,4983.085,1278.54,4052.06,158.256,4547.192,240.662,5289.464,231.039
127,20809,8,2,9,4634.474,1095.129,4033.018,263.194,4173.625,275.176,4774.825,289.367
128,20911,2,9,11,5263.056,1575.532,3788.857,124.645,5182.028,237.251,5294.339,383.79
129,21011,2,10,11,4787.783,817.678,4391.862,181.285,5332.696,477.891,5579.964,418.826
130,61011,10,11,6,3705.965,679.735,3207.637,140.451,3823.014,291.209,3856.359,361.158
131,60910,10,9,6,3786.234,685.79,4515.674,209.561,3535.463,411.109,4111.467,433.405
132,60911,9,6,11,3244.355,802.317,2869.663,135.801,3325.76,311.013,5086.915,1462.941
133,60711,6,11,7,3254.009,661.776,2907.71,264.316,3671.669,423.342,4027.179,276.8
134,40607,6,4,7,3686.655,567.276,3941.559,431.203,4420.449,560.144,3892.589,197.219
135,40710,4,7,10,5151.632,1457.759,4596.082,405.514,4869.45,348.412,4869.706,379.917
136,30410,4,3,10,4511.09,1391.965,4210.051,373.384,3820.515,489.904,4012.541,150.962
137,30510,3,10,5,5147.151,2070.968,4272.245,315.105,4358.433,281.597,4021.342,348.074
138,30507,3,7,5,4682.66,1691.725,3767.692,351.022,4653.593,364.692,3837.077,180.159
139,40507,7,5,4,4567.377,1134.42,4230.369,176.478,4051.615,224.18,4302.705,365.701
140,40607,7,6,4,4403.798,777.001,4864.566,248.145,4243.144,376.121,4391.46,138.989
141,40611,6,4,11,4426.11,1005.326,3583.984,212.225,4529.75,263.991,4938.891,169.983
142,10611,6,1,11,4891.346,1239.049,4064.671,390.789,4402.791,275.838,4821.235,134.581
143,10711,1,11,7,4732.031,1388.351,3607.795,119.95,4724.764,223.978,4223.312,339.787
144,10711,1,11,7,5060.74,1807.18,4251.707,333.989,4012.006,320.067,4001.689,265.014
145,50711,11,7,5,4850.761,1778.219,3485.831,133.638,4240.239,252.291,4970.426,167.197
146,20511,11,2,5,4819.445,1275.636,4283.806,315.235,3921.048,244.332,5121.472,269.378
147,20405,2,5,4,5131.676,1437.123,4053.989,222.414,4696.651,261.638,5001.675,211.002
148,20409,2,9,4,5044.618,1282.258,4466.943,276.648,4628.658,195.312,4820.408,339.601
149,40910,9,4,10,4957.971,1113.95,4627.976,164.433,4415.393,371.375,4639.225,380.912
150,91011,9,11,10,4687.649,1073.225,5016.067,242.59,5111.21,247.23,3963.103,333.335
151,91011,11,10,9,5331.82,1727.067,4737.316,184.348,4304.951,449.501,4385.392,559.3
152,60911,11,6,9,3111.9,470.111,3465.093,206.847,3574.194,209.51,2871.891,270.527
153,30609,6,9,3,3318.067,901.337,3140.068,231.948,4047.403,1541.915,4360.978,1333.082
154,30611,6,11,3,3225.129,737.032,3525.631,290.433,4371.82,590.009,3551.19,703.262
155,40711,11,7,4,3157.85,493.344,3576.06,580.948,3574.158,355.517,3079.105,197.639
156,30407,7,4,3,2912.013,657.937,3322.521,220.74,3975.977,1413.115,2914.724,255.604
157,30710,7,10,3,4267.667,539.393,4882.273,545.767,4321.331,421.335,3818.247,112.843
158,30910,10,3,9,3759.527,612.451,3483.509,239.778,3786.837,262.526,4521.457,230.018
159,50910,10,5,9,4438.393,1064.514,4056.024,403.806,4016.572,295.203,3525.402,675.275
160,50910,5,9,10,3489.914,512.445,3554.123,232.597,3922.733,249.588,3772.933,161.327
161,40510,5,4,10,4312.184,1063.719,3925.334,287.539,3927.378,215.979,3920.803,139.488
162,20410,4,10,2,4234.932,1094.006,3955.952,147.726,3495.826,234.697,3922.616,200.112
163,20411,4,11,2,4314.043,1057.845,4305.779,218.875,4564.192,153.578,3204.432,238.6
164,20511,11,2,5,4182.656,720.644,4559.642,194.274,3556.414,241.092,4103.486,214.817
165,50711,11,7,5,3635.412,562.975,4825.322,376.02,4013.7,175.549,3270.447,181.742
166,20507,7,5,2,4074.572,576.591,4461.306,198.582,4177.563,222.095,3756.705,234.212
167,20507,7,5,2,4314.246,982.674,4193.272,178.161,5271.535,242.958,3539.646,164.528
168,20508,5,2,8,4634.62,1448.914,4733.784,181.832,3886.382,221.732,3646.329,217.259
169,40508,5,4,8,4661.389,1311.266,4538.677,148.567,4765.574,214.472,3713.591,130.742
170,40608,4,8,6,3871.425,588.037,4278.326,241.276,4203.22,211.458,3977.457,242.657
171,40610,4,10,6,4607.524,866.093,5112.762,293.605,4774.32,264.757,4443.542,224.633
172,60810,10,6,8,4596.654,1520.571,3917.861,118.361,4052.836,437.956,4169.283,275.021
173,80910,10,9,8,4609.781,1149.066,4434.555,258.468,4684.351,218.37,4468.813,395.47
174,80911,9,8,11,3805.103,683.87,4111.161,253.749,4374.88,613.982,4521.453,474.266
175,30911,9,3,11,3223.444,804.643,3401.642,259.81,3164.394,440.247,4803.186,1115.901
176,10311,3,11,1,2905.069,672.309,3118.425,270.063,2660.924,332.085,3596.936,879.424
