Index,Combo,Species_1,Species_2,Species_3,TriMean,TriStDev,Species_1_Mean,Species_1_STDEV,Species_2_Mean,Species_2_STDEV,Species_3_Mean,Species_3_STDEV
97,10208,2,1,8,16615.512,5873.892,12186.461,1420.966,16823.078,2026.532,11897.39,2159.321
98,20811,2,11,8,15983.784,4195.063,15799.975,1735.332,15228.7,2281.249,13035.751,2124.628
99,81011,11,8,10,20655.319,6697.981,17105.531,3194.357,16443.438,2993.968,18828.224,2135.126
100,21011,11,2,10,18453.877,5730.785,17587.131,2327.756,15472.936,2063.742,17205.502,1569.229
101,20310,2,10,3,22350.761,9958.369,13359.211,2485.518,19647.816,1628.366,15943.261,3582.143
102,20305,2,5,3,16782.458,5109.157,13969.526,1035.351,20572.453,2061.135,14425.128,1589.215
103,30508,5,3,8,19287.976,8549.723,15733.419,876.792,13886.914,859.696,30586.922,6907.17
104,50708,5,7,8,10452.229,5963.991,10358.027,3667.665,24207.797,12136.133,13939.834,948.442
105,20708,7,8,2,11847.488,5021.614,9718.294,938.612,8662.297,885.64,23445.781,2649.748
106,20607,7,6,2,10481.3,5707.686,7201.792,454.007,27731.674,7685.473,13266.852,1264.794
107,20610,6,2,10,11419.514,3890.852,9547.034,943.658,7950.712,1078.968,20330.354,2603.206
108,60710,6,7,10,9793.44,2501.216,10814.827,949.806,10805.621,3850.77,14480.593,1284.131
109,70910,7,10,9,12144.689,3168.08,9183.534,545.606,14925.913,1750.101,14390.249,1377.735
110,60709,7,6,9,8782.83,2810.254,7981.43,536.432,11200.661,1197.704,8797.574,928.453
111,50611,11,5,6,14122.901,2453.298,13696.301,1951,15777.085,2571.628,14593.242,1183.271
112,40506,5,6,4,23743.061,5534.047,19841.306,1199.927,24403.383,1655.742,25759.805,2999.802
113,10405,5,1,4,19483.361,4647.642,17205.701,2664.391,15791.559,3292.775,26647.403,3326.959
114,10304,1,4,3,21488.733,7045.87,15473.881,2756.53,28606.155,5786.777,19465.964,4144.163
115,10309,1,9,3,22230.66,5321.441,17906.914,3900.303,17633.606,5500.255,25256.424,3336.917
116,30709,9,3,7,18424.238,5580.251,18942.579,1327.829,33732.713,2911.001,16592.909,1919.208
117,10709,9,1,7,17086.406,8465.721,38808.508,5809.411,12155.951,1277.534,21211.335,1646.303
118,10607,1,7,6,21605.788,9167.765,13051.569,1971.216,19281.85,2237.598,13894.765,2969.373
119,10608,1,8,6,21788.52,9686.49,15826.769,3156.695,13297.036,3263.634,15637.735,3390.994
120,10608,8,6,1,28845.561,13319.369,17300.748,3667.486,20098.559,4805.609,20238.486,4515.686
121,10810,8,10,1,26479.314,9196.034,21067.964,4478.332,24755.311,2939.429,19700.273,3927.997
122,11011,10,1,11,29579.905,13942.982,19441.551,2734.501,21071.245,4895.007,17352.86,4848.503
123,31011,10,3,11,23133.314,7723.568,24091.713,2402.876,18210.728,2657.197,18060.596,3451.284
124,20311,3,11,2,19013.771,5219.094,13515.805,868.51,15645.931,1273.936,21634.116,2546.76
125,20308,3,8,2,26630.639,9339.732,15117.53,1082.011,33237.722,9553.11,26139.626,3169.163
126,20809,8,2,9,17216.882,4586.138,14318.312,1558.722,16671.335,3202.232,23439.649,3043.171
127,20809,8,2,9,16546.698,4354.798,14982.617,1319.707,21549.861,2604.035,23957.007,1950.215
128,20911,2,9,11,18745.119,5903.889,14849.229,1350.564,19004.252,3314.272,25597.631,5983.053
129,21011,2,10,11,17356.102,4279.767,14647.301,1823.221,17681.173,1418.563,25160.515,2758.241
130,61011,10,11,6,10000.166,1910.006,8613.986,745.784,11375.02,708.45,11058.911,737.639
