Combo,T_01,T_02,T_03,T_04,T_05,T_06,T_07,T_08,T_09,T_10,T_11,T_12,T_13,T_14,T_15,T_16,T_17,T_18,T_19,T_20,T_21,T_22,T_23,T_24,T_25
50711,533.883,527.713,529.411,531.424,536.861,542.484,548.614,560.193,577.057,648.584,924.351,1284.438,1450.63,1495.744,1541.617,1584.605,1621.562,1650.408,1658.657,1682.324,1702.629,1717.674,1731.991,1744.747,1752.319
50711,506.255,498.082,498.876,499.938,503.155,507.744,511.228,522.912,540.871,622.947,944.001,1422.843,1751.476,1856.296,1903.759,1951.158,1987.675,2016.809,2016.457,2040.135,2057.992,2071.442,2084.161,2092.79,2097.464
20511,526.877,519.019,519.494,520.732,525.497,531.183,537.458,550.247,568.701,668.977,1022.844,1510.238,1812.093,1923.074,2008.532,2091.889,2156.366,2206.263,2222.338,2264.479,2294.219,2311.587,2324.565,2335.068,2339.166
20507,530.298,519.519,517.756,515.797,515.385,515.854,514.516,522.366,540.629,612.702,1031.553,1585.587,1957.79,2140.613,2276.608,2396.324,2484.239,2554.098,2587.723,2652.28,2690.45,2710.259,2724.951,2730.951,2731.938
20709,554.773,542.461,539.315,536.21,534.573,532.934,530.092,530.839,539.922,569.211,756.402,1469.91,2586.039,4215.321,6089.71,7691.031,8810.301,9691.72,10421.105,11122.019,11349.641,11350.633,11263.169,11147.644,11023.225
30709,551.53,540.612,537.623,534.633,533.043,531.806,528.146,530.795,540.885,566.85,730.561,1370.367,2374.273,3961.203,5932.531,7691.554,8985.644,10007.262,10930.903,11861.635,12234.566,12372.53,12347.843,12248.826,12167.032
30409,522.818,513.533,511.362,509.599,509.723,512.324,512.539,520.124,541.254,595.264,885.669,1553.898,2673.433,4314.934,6223.207,7935.03,9112.579,9918.632,10678.245,11517.829,11854.363,11975.895,11975.9,11905.82,11809.767
30410,550.489,541.271,538.507,535.94,535.601,537.187,535.989,541.668,560.498,605.394,860.218,1479.883,2507.886,4018.567,5632.538,6918.53,7623.572,8016.599,8302.249,8663.941,8723.324,8659.196,8579.42,8488.143,8392.605
40510,526.718,515.57,512.616,510.598,511.763,515.874,518.881,531.112,561.904,671.881,989.186,1357.453,1566.193,1668.963,1764.361,1845.504,1900.913,1941.067,1955.709,1990.939,2012.338,2020.737,2025.817,2024.478,2020.697
40510,536.619,525.996,523.304,521.208,521.913,525.36,528.157,540.164,571.191,689.713,1050.598,1508.151,1789.721,1935.488,2057.757,2154.274,2217.652,2262.02,2274.007,2314.069,2330.655,2335.798,2338.711,2331.646,2322.502
40507,523.63,510.87,508.137,506.101,507.311,511.035,514.268,528.539,564.181,712.403,1058.499,1429.033,1621.154,1747.658,1880.309,1993.636,2070.424,2124.61,2148.25,2190.786,2214.949,2220.318,2227.864,2226.889,2218.512
40607,532.074,518.644,515.831,513.441,513.601,515.68,516.419,525.881,548.517,611.481,913.409,1551.674,2683.427,4311.297,6026.227,7309.753,7992.422,8403.562,8674.54,8974.614,9025.008,8975.072,8930.955,8875.443,8803.296
10607,535.337,521.162,517.683,514.926,514.287,513.747,511.883,514.806,523.693,547.909,674.837,1344.071,2455.778,4191.467,6366.31,8454.292,9972.339,11032.002,11868.726,12655.057,12899.925,12879.719,12792.358,12691.053,12591.119
10406,526.236,511.614,508.393,505.69,504.919,505.6,504.144,508.293,521.716,544.748,633.754,1017.018,1622.95,2637.976,3919.796,5016.232,5703.36,6051.695,6226.783,6466.236,6531.929,6521.302,6505.514,6488.118,6457.765
10405,551.423,536.865,533.377,530.784,530.531,532.446,534.917,545.269,564.917,602.292,745.927,986.092,1166.542,1263.696,1352.711,1433.858,1496.297,1542.945,1568.809,1602.534,1628.403,1645.952,1661.883,1672,1678.057
30405,531.881,518.001,515.257,513.215,513.858,516.765,517.889,526.824,545.999,577.339,678.729,851.661,974.774,1049.688,1134.948,1215.017,1279.572,1331.31,1360.086,1394.849,1421.351,1441.835,1457.661,1470.945,1477.112
10305,560.133,546.72,543.506,541.005,540.889,541.46,541.313,546.148,555.088,574.094,599.207,641.48,701.841,749.138,789.261,826.7,863.877,898.786,925.578,954.857,980.384,999.111,1014.797,1028.334,1038.837
10307,518.036,510.395,508.487,506.115,505.223,504.47,500.736,500.858,501.988,507.278,518.142,532.541,555.375,626.455,770.266,967.49,1239.729,1555.335,1852.739,2165.994,2380.964,2515.876,2605.756,2657.895,2683.94
10911,535.401,542.619,548.624,553.074,560.743,567.883,569.263,577.045,585.583,601.795,614.137,628.31,654.644,728.272,832.418,982.201,1194.563,1435.314,1666.648,1919.723,2132.769,2317.967,2476.502,2592.211,2675.965
10411,533.218,538.361,542.855,546.517,553.132,560.37,563.154,572.231,583.586,601.368,621.001,642.818,677.566,740.441,844.841,1015.495,1266.619,1538.464,1770.222,1971.292,2084.3,2148.608,2188.363,2212.401,2231.48
