 ,Mean,StdDev,Min,Max,IntDen,RawIntDen
158,19841.306,1199.927,14163,21594,11914898851,1128037761
159,24403.383,1655.742,19025,27087,14654470826,1387405522
160,25759.805,2999.802,15458,29271,15469015917,1464522217
161,17205.701,2664.391,10490,20987,10332192578,978195747
162,15791.559,3292.775,8878,19449,9482986020,897797493
163,26647.403,3326.959,15750,30669,16002027077,1514984812
164,15473.881,2756.53,9036,18518,9292217352,879736554
165,28606.155,5786.777,16013,38228,17178276784,1626345731
166,19465.964,4144.163,9431,25599,11689502209,1106698434
167,17906.914,3900.303,9357,22913,10753277308,1018061757
168,17633.606,5500.255,7716,25572,10589153613,1002523419
169,25256.424,3336.917,15938,31116,15166730698,1435903498
170,18942.579,1327.829,16115,22030,11375204787,1076942465
171,33732.713,2911.001,27815,39508,20256825389,1917805954
172,16592.909,1919.208,9226,19531,9964204489,943356638
173,38808.508,5809.411,27575,49259,23304889637,2206380084
174,12155.951,1277.534,9130,14719,7299767695,691102267
175,21211.335,1646.303,15479,25253,12737615028,1205928050
176,13051.569,1971.216,8730,18711,7837595207,742020848
177,19281.85,2237.598,14219,25252,11578940085,1096231014
178,13894.765,2969.373,8650,21859,8343942445,789959048
179,15826.769,3156.695,10255,24168,9504130011,899799291
180,13297.036,3263.634,7029,20998,7985000303,755976360
181,15637.735,3390.994,9715,23699,9390613155,889052133
182,17300.748,3667.486,9764,25864,10389268705,983599404
183,20098.559,4805.609,11087,31756,12069381645,1142663351
184,20238.486,4515.686,10550,30543,12153409322,1150618634
185,21067.964,4478.332,11948,30556,12651518950,1197776942
186,24755.311,2939.429,16720,30870,14865807439,1407413722
187,19700.273,3927.997,11849,26708,11830206993,1120019597
188,19441.551,2734.501,15517,27772,11674842283,1105310512
189,21071.245,4895.007,11917,32307,12653489395,1197963493
190,17352.86,4848.503,8698,29641,10420562868,986562165
191,24091.713,2402.876,17815,28609,14467310245,1369686177
192,18210.728,2657.197,13043,24717,10935720794,1035334513
193,18060.596,3451.284,11964,25891,10845565145,1026799067
194,13515.805,868.51,10755,15769,8116373456,768414055
195,15645.931,1273.936,12769,18270,9395535248,889518130
196,21634.116,2546.76,15606,27208,12991499218,1229964423
197,15117.53,1082.011,12280,17737,9078225147,859476937
198,33237.722,9553.11,14084,51853,19959578271,1889664215
199,26139.626,3169.163,18413,31408,15697102162,1486116181
200,14318.312,1558.722,9176,16495,8598286737,814038981
201,16671.335,3202.232,9390,20450,10011300236,947815407
202,23439.649,3043.171,15680,33259,14075739283,1332614370
203,14982.617,1319.707,12257,19867,8997208438,851806716
204,21549.861,2604.035,14385,24996,12940902709,1225174221
205,23957.007,1950.215,16074,26753,14386417951,1362027735
206,14849.229,1350.564,10003,16668,8917107603,844223205
207,19004.252,3314.272,9130,22808,11412239647,1080448724
208,25597.631,5983.053,10786,35009,15371628452,1455302102
209,14647.301,1823.221,6953,16554,8795847853,832742992
210,17681.173,1418.563,13007,20644,10617718152,1005227754
211,25160.515,2758.241,15862,29136,15109136279,1430450772
212,8613.986,745.784,5800,10214,5172782906,489730926
213,11375.02,708.45,9444,14248,6830811243,646704023
214,11058.911,737.639,8159,13900,6640984686,628732278
215,12225.734,1064.53,8720,14978,7341672967,695069630
216,10274.313,1259.83,5075,13244,6169825552,584125496
217,11987.821,573.678,9364,13555,7198804233,681543596
218,9582.252,1407.082,6268,12142,5754236627,544779799
219,10586.809,984.387,7483,12743,6357482518,601891836
220,16778.119,2390.926,10189,22881,10075424857,953886377
221,12625.459,655.631,10586,14270,7581712201,717795238
222,14552.128,2756.212,11266,23552,8738695739,827332141
223,13998.838,710.848,12154,16122,8406439732,795875951
224,15573.688,1634.206,11570,18189,9352152737,885410910
225,16650.148,2825.721,9362,19966,9998577103,946610850
226,14681.666,573.186,12632,15739,8816484285,834696737
227,23693.096,1475.117,20165,27153,14227936500,1347023574
228,17200.487,1809.09,13723,20582,10329061388,977899303
229,22475.368,2540.284,14339,31634,13496679236,1277792117
230,30282.439,9000.521,18138,47098,18184901708,1721647499
231,15775.279,2685.292,9821,19571,9473209666,896871921
232,22045.283,1797.768,16953,25655,13238408567,1253340456
233,15581.306,1237.976,12696,20374,9356727366,885844011
234,35602.617,3789.688,28681,43401,21379720898,2024115588
235,16043.498,2011.313,9647,18983,9634278031,912120997
236,28585.172,2007.488,24190,33544,17165676292,1625152785
237,15988.351,1867.799,12296,21628,9601161678,908985721
238,23918.875,1928.159,18696,27492,14363519085,1359859795
239,12882.395,2128.42,9145,18292,7736004638,732402806
240,29941.118,1726.338,24626,33652,17979935308,1702242396
241,12100.355,1760.59,9339,16802,7266381703,687941463
242,26217.957,7431.147,14915,42533,15744140302,1490569496
243,13470.856,1022.141,9973,15703,8089381114,765858567
244,21099.318,996.438,16518,22993,12670347536,1199559530
245,14703.549,1271.039,11023,16793,8829625313,835940858
246,21438.786,1690,17000,24715,12874201261,1218859291
247,14898.744,1218.669,10568,17971,8946841706,847038268
248,24404.012,3518.812,16032,30891,14654848689,1387441296
249,18437.656,4031.903,10076,26813,11071993637,1048236084
250,21745.395,3451.293,14629,29991,13058323212,1236290955
251,18114.381,1734.652,12860,20780,10877863401,1029856890
252,27603.819,2148.924,21988,31572,16576364176,1569359922
253,19503.733,4120.578,10706,27411,11712183234,1108845750
254,25875.729,3105.947,17101,30973,15538629404,1471112843
255,17547.767,2948.991,10131,23662,10537606173,997643188
256,24934.161,3818.519,16959,31753,14973208280,1417581849
257,12546.677,1213.262,9745,15226,7534402637,713316226
258,17716.549,1700.81,13340,21071,10638961663,1007238974
259,31592.627,3878.929,18632,38322,18971682296,1796135602
260,20868.959,1401.777,17433,23776,12532014762,1186462936
261,22319.668,1693.37,18160,25766,13403179880,1268940107
262,23241.352,1611.885,17447,26505,13956659971,1321340589
263,13344.126,7879.072,6968,36450,8013278597,758653595
264,18003.196,14321.098,6518,49789,10811095831,1023535700
265,21339.648,1756.93,15024,25778,12814668107,1213223016
266,11614.955,1217.083,9516,17967,6974894464,660345038
267,16811.176,1426.294,12511,24822,10095276347,955765808
268,17723.66,12317.379,7581,45727,10643231828,1007643250
269,13226.67,7518.429,8411,40976,7942745074,751975865
270,20807.805,13428.554,9453,49744,12495290966,1182986127
271,22838.282,1394.659,16921,25223,13714612404,1298424843
272,9443.039,1323.427,7065,16525,5670637661,536865104
273,21628.765,1143.753,18239,25946,12988285905,1229660204
274,20394.547,2550.017,15327,26170,12247125346,1159491157
275,15289.089,2870.147,9073,19894,9181248139,869230593
276,16118.147,4061.724,8445,23673,9679105429,916365011
277,21313.994,2066.327,15019,24323,12799262405,1211764488
278,7029.313,410.488,5891,8027,4221171474,399637536
279,6638.521,227.78,5844,7345,3986496775,377419813
280,6137.207,621.536,4217,7327,3685452903,348918618
281,6578.715,355.55,5625,8754,3950583145,374019706
282,7376.769,821.617,5818,11659,4429822032,419391435
283,8714.488,2004.403,5879,13218,5233135594,495444790
284,11709.426,2236.294,8244,22607,7031625356,665716010
285,22888.493,1950.488,11783,26230,13744764581,1301279487
286,15106.998,779.192,11548,16542,9071900660,858878169
287,10650.008,1233.183,7856,14983,6395434489,605484922
288,11540.091,1732.107,7915,14194,6929937654,656088772
289,13551.023,1377.445,8708,17021,8137522063,770416290
290,9927.102,655.226,8305,11609,5961322372,564385550
291,15706.917,3284.462,11263,26235,9432157992,892985372
292,8296.94,1050.037,6418,14930,4982393949,471705936
293,18341.872,1487.113,15586,21650,11014474033,1042790441
294,20470.851,1629.739,14966,22547,12292947108,1163829312
295,12879.002,751.854,10761,14267,7733967185,732209911
296,16664.872,2192.089,9393,19293,10007419320,947447983
297,16122.072,1398.102,13291,20751,9681462704,916588185
298,24505.93,2449.979,15480,27931,14716051437,1393235639
299,25141.997,700.818,22099,27098,15098016016,1429397966
300,11884.612,2687.962,6585,15699,7136826366,675675869
301,21633.065,4753.236,11619,28622,12990868056,1229904668
302,10546.145,1144.869,7743,12427,6333063475,599579974
303,22946.379,2641.224,18094,27825,13779526022,1304570511
304,17259.377,1600.84,12752,20922,10364425377,981247373
305,32693.236,17832.576,9030,62312,19632608880,1858708533
306,11223.677,5547.354,6717,26398,6739928039,638099696
307,16375.918,2683.954,10399,20712,9833899236,931020046
308,12781.503,1540.19,9193,16217,7675418107,726666803
309,29726.99,4153.72,20873,37556,17851348901,1690068535
310,23818.602,2419.222,14294,27697,14303304269,1354158984
311,20144.842,691.766,18184,21835,12097175227,1145294696
312,14958.878,633.157,12506,16276,8982953140,850457102
313,15751.01,1155.787,12661,18011,9458635951,895492161
314,12773.34,1877.826,8809,17605,7670515829,726202682
315,28770.775,3916.76,20279,36393,17277132520,1635704854
316,23015.467,3195.128,11736,28912,13821013716,1308498340
317,11731.378,2881.254,7681,17083,7044807768,666964049
318,12654.168,2109.929,8115,17549,7598952261,719427433
319,18664.039,2888.637,11347,22749,11207938779,1061106630
320,9286.987,1653.52,6934,13929,5576926929,527993082
321,23855.381,5791.52,11407,33276,14325390160,1356249956
322,20609.971,2524.852,13151,27161,12376489639,1171738664
323,12305.444,1788.778,8562,16692,7389539925,699601413
324,19719.067,1441.653,15792,22587,11841493437,1121088136
325,21059.592,2058.088,15614,24578,12646491770,1197300996
326,16227.153,1692.622,11564,19227,9744564790,922562347
327,14499.991,2650.101,10382,24164,8707386863,824367987
328,29513.982,3377.196,18019,34512,17723435589,1677958399
329,16464.002,12817.571,6659,52252,9886794662,936027897
330,16988.96,1787.609,11836,19809,10202037143,965873339
331,41209.157,20538.949,11162,65535,24746503208,2342864209
332,22544.765,1055.526,17762,24950,13538352587,1281737523
333,27567.966,1460.483,24079,31028,16554834231,1567321584
334,28492.393,2472.868,18748,32995,17109961438,1619878006
335,24934.525,1775.002,15845,28374,14973427114,1417602567
336,25254.074,1645.965,19583,27859,15165319093,1435769855
337,25911.102,1256.578,22834,28953,15559870940,1473123876
338,22356.384,1097.005,18802,24534,13425227948,1271027498
339,23995.713,1161.437,21320,26789,14409661377,1364228296
340,30408.173,3107.674,18793,34903,18260406493,1728795881
341,16069.816,4301.678,8235,24446,9650082129,913617243
342,20729.983,633.239,19098,25078,12448558400,1178561742
343,23547.655,2524.955,19219,28445,14140597955,1338754836
344,15664.853,1850.811,13278,21637,9406898069,890593900
345,14810.282,1840.511,9061,17174,8893719798,842008975
346,16105.867,1577.004,9207,23934,9671731114,915666851
347,11339.658,1638.536,6871,14112,6809575907,644693577
348,10031.888,1435.24,7422,17749,6024247325,570342942
349,10788.338,2676.425,8109,19879,6478502837,613349381
350,9653.286,2700.569,4641,14070,5796892977,548818270
351,7396.948,1302.036,4728,9424,4441939818,420538681
352,8206.764,1233.101,4552,24258,4928242293,466579152
