LocationID,Mean,StdDev,Min,Max,IntDen,RawIntDen
201,23279.737,1536.263,17409,26650,13979710652,1323522902
202,21165.056,4035.503,10729,26277,12709823591,1203296908
203,23258.586,3536.025,10664,27886,13967008824,1322320362
204,25237.18,1958.736,14567,29332,15155174478,1434809418
205,21061.283,2193.8,13019,28242,12647507249,1197397136
206,20895.038,997.704,18195,23387,12547675632,1187945622
207,21407.9,3554.119,9967,25035,12855653765,1217103315
208,23766.392,1977.148,10084,27815,14271951547,1351190679
209,23697.491,2199.424,10830,26841,14230575816,1347273450
210,25512.428,2304.274,8614,29928,15320463407,1450458074
211,21443.299,1231.324,12850,24026,12876911187,1219115852
212,14929.892,1525.113,12184,19651,8965546879,848809172
213,15078.547,1686.467,6914,18559,9054815225,857260613
214,27430.777,4701.525,7167,33315,16472451019,1559521990
215,17182.405,1258.616,12621,19838,10318202927,976871283
216,24403.031,3035.695,4703,27467,14654259333,1387385499
217,21135.247,3022.449,6176,27217,12691923069,1201602184
218,13833.873,1975.055,10490,20873,8307376379,786497172
219,11376.968,1711.682,5054,16937,6831980755,646814746
220,10702.603,3441.099,3883,20925,6427018011,608475078
221,16817.704,3641.981,4823,21581,10099196006,956136900
222,23230.651,2566.938,8544,28399,13950234169,1320732229
223,17726.109,2649.778,7340,22705,10644702361,1007782472
224,26409.538,5074.399,5658,30277,15859186608,1501461454
225,16077.741,2853.529,6664,19991,9654841402,914067825
226,19949.536,898.338,17940,23041,11979892311,1134190988
227,20339.112,2317.435,7849,23321,12213836476,1156339548
228,24319.542,1234.503,11799,27076,14604123402,1382638902
229,18867.187,1171.539,10048,21066,11329930859,1072656176
230,24700.388,2473.114,9437,27922,14832825082,1404291132
231,21842.539,3429.548,8061,25776,13116658833,1241813854
232,22744.99,1995.771,17615,26199,13658589654,1293120914
233,23260.508,2564.76,12039,26899,13968163326,1322429664
234,33580.917,3296.09,18240,37989,20165669905,1909175849
235,25457.004,2911.635,12831,29052,15287180621,1447307041
236,27072.424,2939.651,15262,30718,16257256126,1539148509
237,23494.586,3335.217,8147,27724,14108729731,1335737726
238,30378.106,1542.204,25470,33373,18242350438,1727086432
239,21216.278,1808.082,15433,24777,12740583196,1206209060
240,32704.422,2697.94,22574,36812,19639326155,1859344488
241,19384.898,1922.806,12659,23496,11640821453,1102089605
242,23565.722,1760.502,15359,26447,14151447122,1339781976
243,20461.593,2196.167,13671,24395,12287387568,1163302965
244,21156.029,2111.43,14981,25314,12704403296,1202783744
245,19291.366,1929.851,13726,22483,11584654651,1096772038
246,29144.873,2403.074,21004,34044,17501782361,1656973478
