LocationID,Mean,StdDev,Min,Max,IntDen,RawIntDen
47,5151.632,1457.759,1454,11226,50543151977,4785150483
48,4511.09,1391.965,1972,10462,44484252300,4211526845
49,5147.151,2070.968,1616,12350,50499187588,4780988174
50,4682.66,1691.725,1466,12211,46176116328,4371703321
51,4567.377,1134.42,1253,8869,44810964642,4242458191
52,4403.798,777.001,1690,6914,43426235120,4111359538
53,4426.11,1005.326,1704,8767,43424987457,4111241416
54,4891.346,1239.049,2173,9094,48233983973,4566531027
55,4732.031,1388.351,1824,9621,46426399931,4395398810
56,5060.74,1807.18,2082,11572,49904398848,4724676814
57,4850.761,1778.219,1775,11923,47591274723,4505682814
58,4819.445,1275.636,1251,9733,47524964932,4499404964
59,5131.676,1437.123,1811,11183,50347360745,4766614035
60,5044.618,1282.258,1312,10711,49745419365,4709625502
61,4957.971,1113.95,1792,10519,48643122252,4605266012
62,4687.649,1073.225,1363,9403,46225316865,4376361360
63,5331.82,1727.067,1568,12374,52310988518,4952519623
64,3111.9,470.111,1128,4157,30686719074,2905251510
65,3318.067,901.337,1326,9598,32553870800,3082023271
66,3225.129,737.032,911,6539,31803271813,3010960645
67,3157.85,493.344,1391,5944,31139833752,2948149941
68,2912.013,657.937,1245,11534,28570034972,2704855382
69,4267.667,539.393,2208,6516,42083831342,3984268056
70,3759.527,612.451,1388,5712,36885071266,3492077753
71,4438.393,1064.514,1293,9153,43767373989,4143656709
72,3489.914,512.445,1143,5691,34239871257,3241644616
73,4312.184,1063.719,1548,8812,42522820513,4025829161
74,4234.932,1094.006,1424,9363,41549319462,3933663381
75,4314.043,1057.845,1828,8791,42541154879,4027564959
76,4182.656,720.644,1414,8053,41036429886,3885105788
77,3635.412,562.975,1499,5865,35849111068,3393998681
78,4074.572,576.591,1509,6159,39976014891,3784711469
79,4314.246,982.674,1339,8980,42543155628,4027754379
80,4634.62,1448.914,1395,11362,45470695974,4304917962
81,4661.389,1311.266,1319,9268,45966362644,4351844984
82,3871.425,588.037,1270,5823,37982916771,3596015789
83,4607.524,866.093,1212,7838,45435197260,4301557137
84,4596.654,1520.571,1287,10090,45098203676,4269652419
85,4609.781,1149.066,1222,9116,45457453345,4303664222
86,3805.103,683.87,1087,5597,37332222514,3534411599
87,3223.444,804.643,937,7694,31786656779,3009387624
88,2905.069,672.309,1048,8761,28501903129,2698405030
89,2760.009,202.235,2202,3739,1657412385,156914782
90,3365.99,302.391,2480,4285,2021310283,191366654
91,3465.735,412.482,2245,5921,2081208066,197037450
92,3870.372,435.621,2541,6611,2324196456,220042268
93,3787.079,408.578,2511,4720,2274178371,215306828
94,4330.442,233.843,3594,5020,2600472681,246198597
95,3780.749,310.662,2406,4461,2270376578,214946895
96,4552.354,356.78,3521,5715,2733733290,258814986
97,4306.474,457.1,2513,5626,2586080028,244835979
98,4350.184,268.934,2687,5003,2612328422,247321034
99,3498.46,306.137,2430,4190,2100859259,198897918
100,3906.056,97.963,3408,4317,2345625191,222071024
101,4080.31,264.05,2612,5277,2450265956,231977842
102,4786.52,394.95,3772,6065,2874352496,272128047
103,5040.731,490.035,2943,6410,3027008348,286580672
104,3963.884,156.535,3353,4594,2380351079,225358682
105,4571.746,486.273,2731,5535,2745378097,259917453
106,5210.513,321.794,4256,6408,3128964231,296233300
107,3963.622,236.45,3109,4569,2380194130,225343823
108,5133.731,476.488,3989,6577,3082856077,291868031
109,3616.311,295.795,2346,4313,2171630248,205598130
110,3579.324,171.735,2965,4242,2149419106,203495300
111,3704.421,304.743,2357,4862,2224541064,210607438
112,3589.157,168.743,3011,4247,2155323713,204054316
113,3470.273,258.733,2618,4304,2083932927,197295425
114,4046.497,252.916,3268,4857,2429961092,230055488
115,3873.381,321.147,2471,4707,2326003319,220213332
116,3842.88,263.105,3091,4911,2307687152,218479257
117,4490.464,385.831,2659,5535,2696567972,255296376
118,4147.557,217.287,3365,4894,2490648527,235801044
119,3615.209,125.699,2942,3971,2170968624,205535491
